ID,Size,Predicted,Actual
0,137,0.003174603174603174,NO
1,269,0.003174603174603174,YES
2,343,0.003174603174603174,YES
3,154,0.003174603174603174,NO
4,37,0.003174603174603174,NO
5,130,0.003174603174603174,NO
6,701,0.003174603174603174,NO
7,250,0.003174603174603174,YES
8,112,0.003174603174603174,YES
9,29,0.003174603174603174,NO
10,63,0.003174603174603174,NO
11,349,0.003174603174603174,YES
12,213,0.003174603174603174,YES
13,65,0.003174603174603174,NO
14,104,0.003174603174603174,NO
15,265,0.003174603174603174,NO
16,496,0.003174603174603174,NO
17,38,0.003174603174603174,NO
18,342,0.003174603174603174,YES
19,70,0.003174603174603174,NO
20,179,0.003174603174603174,NO
21,532,0.003174603174603174,YES
22,35,0.003174603174603174,NO
23,133,0.003174603174603174,NO
24,32,0.003174603174603174,NO
25,343,0.003174603174603174,NO
26,164,0.003174603174603174,YES
27,55,0.003174603174603174,NO
28,126,0.003174603174603174,NO
29,132,0.003174603174603174,NO
30,149,0.003174603174603174,NO
31,210,0.0015923566878980893,NO
32,151,0.0015923566878980893,NO
33,39,0.0010626992561105207,NO
34,45,0.0010626992561105207,NO
35,48,0.003174603174603174,NO
36,33,6.381620931716656E-4,NO
37,98,0.003174603174603174,NO
38,117,0.0015923566878980893,NO
39,283,0.003174603174603174,NO
40,251,0.003174603174603174,NO
41,252,0.003174603174603174,NO
42,88,7.974481658692185E-4,NO
43,83,0.003174603174603174,NO
44,43,0.0015923566878980893,NO
45,107,0.0010626992561105207,NO
46,35,0.0015923566878980893,NO
47,55,0.0010626992561105207,NO
48,41,0.003174603174603174,NO
49,99,0.0015923566878980893,NO
50,75,0.003174603174603174,NO
51,40,0.0015923566878980893,NO
52,35,0.0015923566878980893,NO
53,39,0.0010626992561105207,NO
54,101,0.003174603174603174,NO
55,508,0.003174603174603174,NO
56,47,0.003174603174603174,NO
57,142,0.003174603174603174,NO
58,106,0.003174603174603174,NO
59,62,0.003174603174603174,NO
60,210,0.0015923566878980893,NO
61,525,0.003174603174603174,NO
62,88,7.974481658692185E-4,NO
63,833,0.003174603174603174,NO
64,457,0.003174603174603174,NO
65,99,0.0015923566878980893,NO
66,151,0.0015923566878980893,NO
67,52,0.003174603174603174,NO
68,1069,0.003174603174603174,YES
69,39,0.0010626992561105207,NO
70,89,0.003174603174603174,NO
71,100,0.0015923566878980893,NO
72,622,0.003174603174603174,YES
73,68,0.003174603174603174,NO
74,312,0.003174603174603174,NO
75,101,0.003174603174603174,NO
76,78,0.0010626992561105207,NO
77,81,0.0010626992561105207,NO
78,125,0.003174603174603174,NO
79,112,0.0015923566878980893,NO
80,1179,0.003174603174603174,YES
81,505,0.003174603174603174,YES
82,280,0.003174603174603174,NO
83,29,0.003174603174603174,NO
84,194,0.003174603174603174,NO
85,72,0.003174603174603174,NO
86,36,0.003174603174603174,NO
87,72,0.0015923566878980893,NO
88,121,0.003174603174603174,NO
89,68,0.003174603174603174,NO
90,131,0.003174603174603174,NO
91,1069,0.003174603174603174,NO
92,70,0.003174603174603174,NO
93,47,0.003174603174603174,NO
94,268,0.003174603174603174,YES
95,72,0.003174603174603174,NO
96,959,0.003174603174603174,YES
97,478,0.003174603174603174,YES
98,132,0.003174603174603174,NO
99,197,0.003174603174603174,YES
100,37,0.003174603174603174,NO
101,86,0.003174603174603174,YES
102,67,0.003174603174603174,NO
103,132,0.003174603174603174,NO
104,58,0.003174603174603174,YES
105,218,0.003174603174603174,YES
106,142,0.003174603174603174,NO
107,119,0.003174603174603174,NO
108,111,0.003174603174603174,NO
109,664,0.003174603174603174,YES
110,114,0.003174603174603174,NO
111,82,0.003174603174603174,NO
112,93,0.003174603174603174,YES
113,92,0.003174603174603174,NO
114,82,0.003174603174603174,NO
115,128,0.003174603174603174,YES
116,69,0.003174603174603174,NO
117,117,0.003174603174603174,NO
118,78,0.0010626992561105207,YES
119,186,0.003174603174603174,NO
120,487,0.003174603174603174,NO
121,276,0.003174603174603174,NO
122,60,0.003174603174603174,NO
123,114,0.003174603174603174,NO
124,310,0.003174603174603174,NO
125,45,0.0010626992561105207,NO
126,892,0.003174603174603174,NO
127,186,0.003174603174603174,NO
128,26,0.0010626992561105207,NO
129,654,0.003174603174603174,YES
130,403,0.003174603174603174,YES
131,50,0.003174603174603174,NO
132,407,0.003174603174603174,YES
133,41,0.003174603174603174,NO
134,106,0.003174603174603174,NO
135,85,0.0015923566878980893,YES
136,34,7.974481658692185E-4,NO
137,245,0.003174603174603174,NO
138,638,0.003174603174603174,YES
139,53,0.003174603174603174,NO
140,193,0.003174603174603174,NO
141,42,0.003174603174603174,NO
142,31,0.003174603174603174,NO
143,36,0.003174603174603174,NO
144,154,0.003174603174603174,YES
145,68,0.003174603174603174,NO
146,64,0.003174603174603174,NO
147,75,0.003174603174603174,NO
148,44,0.003174603174603174,NO
149,584,0.003174603174603174,YES
150,34,0.003174603174603174,NO
151,650,0.003174603174603174,YES
152,221,0.003174603174603174,YES
153,123,0.003174603174603174,NO
154,67,0.003174603174603174,NO
155,45,0.003174603174603174,NO
156,33,0.003174603174603174,NO
157,54,0.003174603174603174,NO
158,38,0.003174603174603174,NO
159,33,0.003174603174603174,NO
160,69,0.0015923566878980893,YES
161,129,0.003174603174603174,NO
162,583,0.003174603174603174,NO
163,181,0.003174603174603174,NO
164,33,6.381620931716656E-4,NO
165,327,0.003174603174603174,NO
166,40,0.003174603174603174,NO
167,105,0.003174603174603174,NO
168,128,0.003174603174603174,NO
